variance,skewness,curtosis,entropy,class
3.6216,8.6661,-2.8073,-0.44699,0
4.5459,8.1674,-2.4586,-1.4621,0
3.866,-2.6383,1.9242,0.10645,0
3.4566,9.5228,-4.0112,-3.5944,0
0.32924,-4.4552,4.5718,-0.9888,0
5.493621667489646,10.90430024653151,-4.292253687636744,-1.7103943605455367,0
3.7812636244314093,8.34706699668585,-2.7628563467760343,-1.3025758272066907,0
4.065757803129486,7.1301469961138455,-2.5223707952266903,-0.5162943684551986,0
3.345392299788176,10.062279642093278,-1.8765319974756358,-2.7332194805492787,0
1.974329824206378,-6.896887299942044,4.98952719000951,-4.908140247759551,1
-0.023331323851517427,-2.053414456100943,5.968597882663444,-1.332057670452837,0
1.2756264989200465,-3.136818803142031,9.253292668206093,1.153170374034738,0
2.8590601532814306,7.1407491892056685,-2.545673604946996,-2.0127018204927856,0
5.81851021669034,6.3539586628401405,-1.5065148251460565,1.145222536797168,1
-2.6870665790949655,-2.255906048430359,4.2163357574586895,-1.8095666173726008,1
-0.6322460436398298,11.661761772393861,-5.8787256818241,-2.025983624692123,1
4.244832283480434,6.236284656210051,-2.1576218437788115,-1.6889425026927882,0
2.7971670926529897,-5.628407741628672,0.34568334260415967,1.5938725675424534,1
5.452404235404148,9.323602219319369,-3.8668204075340777,0.5795448662267122,1
-0.2893370928891553,-3.1089489944520494,4.058539634614891,-1.7244514482655227,1
2.8052900908778517,7.154113560736953,-5.078501374424949,4.425226832962569,0
3.88647766018951,5.47817013360853,-5.897313616934524,-0.7864825226814127,0
0.028457569401917127,-2.691327750898434,2.0446604198820526,5.032934224970572,1
3.3964815847732006,7.324403559320234,-1.7789580716267126,-1.476860299889146,1
5.203663894086094,6.847325090410522,-0.0017113781278017548,-3.2506921255845618,1
2.564827349738623,7.034804540794457,-2.259297269824718,-2.469051308232398,0
-0.7430802003580446,-2.2621422870102346,5.427825681978854,-5.928197730135195,1
4.957200268013341,5.280433296607523,-4.514021728176978,0.020381270090436,1
0.651033530877545,-2.2690322829353917,2.443965588496847,1.6700957435546206,0
0.546663599254771,-4.243672705944478,6.413133431426142,-1.4422449110987237,1
4.042744946597362,8.094097163947264,-0.2796509777104865,-2.6467341581764248,1
2.3636411506721435,-4.89915610624106,3.464154719861587,2.643229044807804,0
-0.16153623200574102,-5.962672328714978,2.792771140748953,-2.6204205699308765,1
6.040363941373268,9.742020007383992,2.661544318123483,-0.25945913969610646,1
1.7242150038777755,-1.6733551695136295,1.4772744293482982,1.534450988184184,0
8.783672424459983,11.260473510943019,-4.3576380903577165,-2.655894663125505,0
